episode 1 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 0.0
episode 2 of 500 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 0.1
episode 3 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 0.4
episode 4 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 0.5
episode 5 of 500 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 0.6
episode 6 of 500 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 1.0
episode 7 of 500 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 1.5
episode 8 of 500 complete,  explore val = 0.01, episode reward = 18.0, ave reward = 1.7
episode 9 of 500 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 1.9
episode 10 of 500 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 2.6
episode 11 of 500 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 3.1
episode 12 of 500 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 3.6
episode 13 of 500 complete,  explore val = 0.01, episode reward = 77.0, ave reward = 4.2
episode 14 of 500 complete,  explore val = 0.01, episode reward = 144.0, ave reward = 5.0
episode 15 of 500 complete,  explore val = 0.01, episode reward = 82.0, ave reward = 6.4
episode 16 of 500 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 7.2
episode 17 of 500 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 7.7
episode 18 of 500 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 8.0
episode 19 of 500 complete,  explore val = 0.01, episode reward = 15.0, ave reward = 8.6
episode 20 of 500 complete,  explore val = 0.01, episode reward = 13.0, ave reward = 8.8
episode 21 of 500 complete,  explore val = 0.01, episode reward = 8.0, ave reward = 8.9
episode 22 of 500 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 9.0
episode 23 of 500 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 9.1
episode 24 of 500 complete,  explore val = 0.01, episode reward = 32.0, ave reward = 9.4
episode 25 of 500 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 9.8
episode 26 of 500 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 10.4
episode 27 of 500 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 10.9
episode 28 of 500 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 11.2
episode 29 of 500 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 11.6
episode 30 of 500 complete,  explore val = 0.01, episode reward = 62.0, ave reward = 12.2
episode 31 of 500 complete,  explore val = 0.01, episode reward = 44.0, ave reward = 12.8
episode 32 of 500 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 13.2
episode 33 of 500 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 13.6
episode 34 of 500 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 13.8
episode 35 of 500 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 13.9
episode 36 of 500 complete,  explore val = 0.01, episode reward = 25.0, ave reward = 14.2
episode 37 of 500 complete,  explore val = 0.01, episode reward = 12.0, ave reward = 14.4
episode 38 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 14.5
episode 39 of 500 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 14.6
episode 40 of 500 complete,  explore val = 0.01, episode reward = 29.0, ave reward = 14.9
episode 41 of 500 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 15.2
episode 42 of 500 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 15.4
episode 43 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 15.5
episode 44 of 500 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 15.6
episode 45 of 500 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 15.7
episode 46 of 500 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 16.0
episode 47 of 500 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 16.5
episode 48 of 500 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 16.6
episode 49 of 500 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 16.6
episode 50 of 500 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 16.9
episode 51 of 500 complete,  explore val = 0.01, episode reward = 26.0, ave reward = 17.2
episode 52 of 500 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 17.4
episode 53 of 500 complete,  explore val = 0.01, episode reward = 90.0, ave reward = 17.9
episode 54 of 500 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 18.8
episode 55 of 500 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 19.0
