episode 1 of 1000 complete,  explore val = 0.01, episode reward = -550.5, ave reward = 0.0
episode 2 of 1000 complete,  explore val = 0.01, episode reward = -467.1, ave reward = -55.0
episode 3 of 1000 complete,  explore val = 0.01, episode reward = -828.2, ave reward = -101.8
episode 4 of 1000 complete,  explore val = 0.01, episode reward = -175.5, ave reward = -184.6
episode 5 of 1000 complete,  explore val = 0.01, episode reward = -603.8, ave reward = -202.1
episode 6 of 1000 complete,  explore val = 0.01, episode reward = -207.4, ave reward = -262.5
episode 7 of 1000 complete,  explore val = 0.01, episode reward = -112.3, ave reward = -283.2
episode 8 of 1000 complete,  explore val = 0.01, episode reward = -457.6, ave reward = -294.5
episode 9 of 1000 complete,  explore val = 0.01, episode reward = -189.3, ave reward = -340.2
episode 10 of 1000 complete,  explore val = 0.01, episode reward = -340.9, ave reward = -359.2
episode 11 of 1000 complete,  explore val = 0.01, episode reward = -29.7, ave reward = -393.3
episode 12 of 1000 complete,  explore val = 0.01, episode reward = -243.1, ave reward = -341.2
episode 13 of 1000 complete,  explore val = 0.01, episode reward = -348.0, ave reward = -318.8
episode 14 of 1000 complete,  explore val = 0.01, episode reward = -201.7, ave reward = -270.8
episode 15 of 1000 complete,  explore val = 0.01, episode reward = -334.2, ave reward = -273.4
episode 16 of 1000 complete,  explore val = 0.01, episode reward = -467.0, ave reward = -246.4
episode 17 of 1000 complete,  explore val = 0.01, episode reward = -161.8, ave reward = -272.4
episode 18 of 1000 complete,  explore val = 0.01, episode reward = -203.2, ave reward = -277.3
episode 19 of 1000 complete,  explore val = 0.01, episode reward = -164.6, ave reward = -251.9
episode 20 of 1000 complete,  explore val = 0.01, episode reward = -193.7, ave reward = -249.4
episode 21 of 1000 complete,  explore val = 0.01, episode reward = -127.9, ave reward = -234.7
episode 22 of 1000 complete,  explore val = 0.01, episode reward = -471.3, ave reward = -244.5
episode 23 of 1000 complete,  explore val = 0.01, episode reward = -57.1, ave reward = -267.3
episode 24 of 1000 complete,  explore val = 0.01, episode reward = -199.4, ave reward = -238.2
episode 25 of 1000 complete,  explore val = 0.01, episode reward = -152.1, ave reward = -238.0
episode 26 of 1000 complete,  explore val = 0.01, episode reward = -252.5, ave reward = -219.8
episode 27 of 1000 complete,  explore val = 0.01, episode reward = -902.0, ave reward = -198.4
episode 28 of 1000 complete,  explore val = 0.01, episode reward = -307.0, ave reward = -272.4
episode 29 of 1000 complete,  explore val = 0.01, episode reward = -331.2, ave reward = -282.7
episode 30 of 1000 complete,  explore val = 0.01, episode reward = -352.9, ave reward = -299.4
episode 31 of 1000 complete,  explore val = 0.01, episode reward = -532.1, ave reward = -315.3
episode 32 of 1000 complete,  explore val = 0.01, episode reward = -550.5, ave reward = -355.7
episode 33 of 1000 complete,  explore val = 0.01, episode reward = -293.2, ave reward = -363.7
episode 34 of 1000 complete,  explore val = 0.01, episode reward = -289.7, ave reward = -387.3
episode 35 of 1000 complete,  explore val = 0.01, episode reward = -315.4, ave reward = -396.3
episode 36 of 1000 complete,  explore val = 0.01, episode reward = -433.4, ave reward = -412.6
episode 37 of 1000 complete,  explore val = 0.01, episode reward = -306.2, ave reward = -430.7
episode 38 of 1000 complete,  explore val = 0.01, episode reward = -529.4, ave reward = -371.2
episode 39 of 1000 complete,  explore val = 0.01, episode reward = -148.7, ave reward = -393.4
episode 40 of 1000 complete,  explore val = 0.01, episode reward = -259.1, ave reward = -375.2
episode 41 of 1000 complete,  explore val = 0.01, episode reward = -73.4, ave reward = -365.8
episode 42 of 1000 complete,  explore val = 0.01, episode reward = -384.6, ave reward = -319.9
episode 43 of 1000 complete,  explore val = 0.01, episode reward = 138.5, ave reward = -303.3
episode 44 of 1000 complete,  explore val = 0.01, episode reward = -629.5, ave reward = -260.1
episode 45 of 1000 complete,  explore val = 0.01, episode reward = -176.8, ave reward = -294.1
episode 46 of 1000 complete,  explore val = 0.01, episode reward = -614.8, ave reward = -280.3
episode 47 of 1000 complete,  explore val = 0.01, episode reward = -185.5, ave reward = -298.4
episode 48 of 1000 complete,  explore val = 0.01, episode reward = -232.2, ave reward = -286.3
episode 49 of 1000 complete,  explore val = 0.01, episode reward = -725.1, ave reward = -256.6
episode 50 of 1000 complete,  explore val = 0.01, episode reward = -313.9, ave reward = -314.2
episode 51 of 1000 complete,  explore val = 0.01, episode reward = -386.3, ave reward = -319.7
episode 52 of 1000 complete,  explore val = 0.01, episode reward = -573.8, ave reward = -351.0
episode 53 of 1000 complete,  explore val = 0.01, episode reward = -91.2, ave reward = -369.9
episode 54 of 1000 complete,  explore val = 0.01, episode reward = -23.5, ave reward = -392.9
episode 55 of 1000 complete,  explore val = 0.01, episode reward = -232.3, ave reward = -332.3
episode 56 of 1000 complete,  explore val = 0.01, episode reward = -116.1, ave reward = -337.8
episode 57 of 1000 complete,  explore val = 0.01, episode reward = -167.2, ave reward = -288.0
episode 58 of 1000 complete,  explore val = 0.01, episode reward = -267.4, ave reward = -286.1
episode 59 of 1000 complete,  explore val = 0.01, episode reward = -62.2, ave reward = -289.7
episode 60 of 1000 complete,  explore val = 0.01, episode reward = -801.6, ave reward = -223.4
