episode 1 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 2 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 50.0
episode 3 of 1000 complete,  explore val = 0.01, episode reward = 14.0, ave reward = 14.0
episode 4 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 5 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 6 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 16.0
episode 7 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 24.0
episode 8 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 61.0
episode 9 of 1000 complete,  explore val = 0.01, episode reward = 52.0, ave reward = 52.0
episode 10 of 1000 complete,  explore val = 0.01, episode reward = 99.0, ave reward = 99.0
episode 11 of 1000 complete,  explore val = 0.01, episode reward = 55.0, ave reward = 55.0
episode 12 of 1000 complete,  explore val = 0.01, episode reward = 29.0, ave reward = 29.0
episode 13 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 59.0
episode 14 of 1000 complete,  explore val = 0.01, episode reward = 126.0, ave reward = 126.0
episode 15 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 43.0
episode 16 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 23.0
episode 17 of 1000 complete,  explore val = 0.01, episode reward = 12.0, ave reward = 12.0
episode 18 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 20.0
episode 19 of 1000 complete,  explore val = 0.01, episode reward = 70.0, ave reward = 70.0
episode 20 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 31.0
episode 21 of 1000 complete,  explore val = 0.01, episode reward = 56.0, ave reward = 56.0
episode 22 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 500.0
episode 23 of 1000 complete,  explore val = 0.01, episode reward = 178.0, ave reward = 178.0
episode 24 of 1000 complete,  explore val = 0.01, episode reward = 73.0, ave reward = 73.0
episode 25 of 1000 complete,  explore val = 0.01, episode reward = 500.0, ave reward = 500.0
episode 26 of 1000 complete,  explore val = 0.01, episode reward = 175.0, ave reward = 175.0
episode 27 of 1000 complete,  explore val = 0.01, episode reward = 78.0, ave reward = 78.0
episode 28 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 43.0
episode 29 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 17.0
episode 30 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 31 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 20.0
episode 32 of 1000 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 40.0
episode 33 of 1000 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 19.0
episode 34 of 1000 complete,  explore val = 0.01, episode reward = 8.0, ave reward = 8.0
episode 35 of 1000 complete,  explore val = 0.01, episode reward = 15.0, ave reward = 15.0
episode 36 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
