training episode 1 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 2 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 3 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 4 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 5 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 6 of 1000 complete,  explore val = 0.01, episode reward = 77.0
training episode 7 of 1000 complete,  explore val = 0.01, episode reward = 32.0
training episode 8 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 9 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 10 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 11 of 1000 complete,  explore val = 0.01, episode reward = 23.0
training episode 12 of 1000 complete,  explore val = 0.01, episode reward = 32.0
training episode 13 of 1000 complete,  explore val = 0.01, episode reward = 218.0
training episode 14 of 1000 complete,  explore val = 0.01, episode reward = 38.0
training episode 15 of 1000 complete,  explore val = 0.01, episode reward = 32.0
training episode 16 of 1000 complete,  explore val = 0.01, episode reward = 25.0
training episode 17 of 1000 complete,  explore val = 0.01, episode reward = 14.0
training episode 18 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 19 of 1000 complete,  explore val = 0.01, episode reward = 16.0
training episode 20 of 1000 complete,  explore val = 0.01, episode reward = 14.0
training episode 21 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 22 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 23 of 1000 complete,  explore val = 0.01, episode reward = 8.0
training episode 24 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 25 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 26 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 27 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 28 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 29 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 30 of 1000 complete,  explore val = 0.01, episode reward = 16.0
training episode 31 of 1000 complete,  explore val = 0.01, episode reward = 29.0
training episode 32 of 1000 complete,  explore val = 0.01, episode reward = 31.0
training episode 33 of 1000 complete,  explore val = 0.01, episode reward = 15.0
training episode 34 of 1000 complete,  explore val = 0.01, episode reward = 15.0
training episode 35 of 1000 complete,  explore val = 0.01, episode reward = 16.0
training episode 36 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 37 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 38 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 39 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 40 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 41 of 1000 complete,  explore val = 0.01, episode reward = 16.0
training episode 42 of 1000 complete,  explore val = 0.01, episode reward = 26.0
training episode 43 of 1000 complete,  explore val = 0.01, episode reward = 17.0
training episode 44 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 45 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 46 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 47 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 48 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 49 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 50 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 51 of 1000 complete,  explore val = 0.01, episode reward = 15.0
training episode 52 of 1000 complete,  explore val = 0.01, episode reward = 33.0
training episode 53 of 1000 complete,  explore val = 0.01, episode reward = 50.0
training episode 54 of 1000 complete,  explore val = 0.01, episode reward = 38.0
training episode 55 of 1000 complete,  explore val = 0.01, episode reward = 24.0
training episode 56 of 1000 complete,  explore val = 0.01, episode reward = 18.0
training episode 57 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 58 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 59 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 60 of 1000 complete,  explore val = 0.01, episode reward = 16.0
training episode 61 of 1000 complete,  explore val = 0.01, episode reward = 106.0
training episode 62 of 1000 complete,  explore val = 0.01, episode reward = 20.0
training episode 63 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 64 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 65 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 66 of 1000 complete,  explore val = 0.01, episode reward = 16.0
training episode 67 of 1000 complete,  explore val = 0.01, episode reward = 13.0
training episode 68 of 1000 complete,  explore val = 0.01, episode reward = 17.0
training episode 69 of 1000 complete,  explore val = 0.01, episode reward = 39.0
training episode 70 of 1000 complete,  explore val = 0.01, episode reward = 44.0
training episode 71 of 1000 complete,  explore val = 0.01, episode reward = 14.0
training episode 72 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 73 of 1000 complete,  explore val = 0.01, episode reward = 9.0
training episode 74 of 1000 complete,  explore val = 0.01, episode reward = 10.0
training episode 75 of 1000 complete,  explore val = 0.01, episode reward = 12.0
training episode 76 of 1000 complete,  explore val = 0.01, episode reward = 16.0
training episode 77 of 1000 complete,  explore val = 0.01, episode reward = 36.0
training episode 78 of 1000 complete,  explore val = 0.01, episode reward = 44.0
training episode 79 of 1000 complete,  explore val = 0.01, episode reward = 22.0
training episode 80 of 1000 complete,  explore val = 0.01, episode reward = 11.0
training episode 81 of 1000 complete,  explore val = 0.01, episode reward = 28.0
training episode 82 of 1000 complete,  explore val = 0.01, episode reward = 35.0
training episode 83 of 1000 complete,  explore val = 0.01, episode reward = 59.0
training episode 84 of 1000 complete,  explore val = 0.01, episode reward = 85.0
training episode 85 of 1000 complete,  explore val = 0.01, episode reward = 35.0
training episode 86 of 1000 complete,  explore val = 0.01, episode reward = 85.0
training episode 87 of 1000 complete,  explore val = 0.01, episode reward = 256.0
training episode 88 of 1000 complete,  explore val = 0.01, episode reward = 77.0
training episode 89 of 1000 complete,  explore val = 0.01, episode reward = 115.0
training episode 90 of 1000 complete,  explore val = 0.01, episode reward = 53.0
training episode 91 of 1000 complete,  explore val = 0.01, episode reward = 144.0
training episode 92 of 1000 complete,  explore val = 0.01, episode reward = 73.0
training episode 93 of 1000 complete,  explore val = 0.01, episode reward = 74.0
training episode 94 of 1000 complete,  explore val = 0.01, episode reward = 147.0
training episode 95 of 1000 complete,  explore val = 0.01, episode reward = 70.0
training episode 96 of 1000 complete,  explore val = 0.01, episode reward = 71.0
training episode 97 of 1000 complete,  explore val = 0.01, episode reward = 96.0
training episode 98 of 1000 complete,  explore val = 0.01, episode reward = 38.0
training episode 99 of 1000 complete,  explore val = 0.01, episode reward = 44.0
training episode 100 of 1000 complete,  explore val = 0.01, episode reward = 181.0
training episode 101 of 1000 complete,  explore val = 0.01, episode reward = 55.0
training episode 102 of 1000 complete,  explore val = 0.01, episode reward = 41.0
training episode 103 of 1000 complete,  explore val = 0.01, episode reward = 109.0
training episode 104 of 1000 complete,  explore val = 0.01, episode reward = 78.0
