episode 1 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 2 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 16.0
episode 3 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 4 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 38.0
episode 5 of 1000 complete,  explore val = 0.01, episode reward = 11.0, ave reward = 11.0
episode 6 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 7 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 8 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 9 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 10 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 61.0
episode 11 of 1000 complete,  explore val = 0.01, episode reward = 35.0, ave reward = 35.0
episode 12 of 1000 complete,  explore val = 0.01, episode reward = 15.0, ave reward = 15.0
episode 13 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 14 of 1000 complete,  explore val = 0.01, episode reward = 25.0, ave reward = 25.0
episode 15 of 1000 complete,  explore val = 0.01, episode reward = 49.0, ave reward = 49.0
episode 16 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 22.0
episode 17 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 18 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 19 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 20 of 1000 complete,  explore val = 0.01, episode reward = 50.0, ave reward = 50.0
episode 21 of 1000 complete,  explore val = 0.01, episode reward = 25.0, ave reward = 25.0
episode 22 of 1000 complete,  explore val = 0.01, episode reward = 12.0, ave reward = 12.0
episode 23 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 34.0
episode 24 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 17.0
episode 25 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 26 of 1000 complete,  explore val = 0.01, episode reward = 21.0, ave reward = 21.0
episode 27 of 1000 complete,  explore val = 0.01, episode reward = 72.0, ave reward = 72.0
episode 28 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 36.0
episode 29 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 23.0
episode 30 of 1000 complete,  explore val = 0.01, episode reward = 13.0, ave reward = 13.0
episode 31 of 1000 complete,  explore val = 0.01, episode reward = 66.0, ave reward = 66.0
episode 32 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 23.0
episode 33 of 1000 complete,  explore val = 0.01, episode reward = 42.0, ave reward = 42.0
episode 34 of 1000 complete,  explore val = 0.01, episode reward = 19.0, ave reward = 19.0
episode 35 of 1000 complete,  explore val = 0.01, episode reward = 8.0, ave reward = 8.0
episode 36 of 1000 complete,  explore val = 0.01, episode reward = 32.0, ave reward = 32.0
episode 37 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 20.0
episode 38 of 1000 complete,  explore val = 0.01, episode reward = 97.0, ave reward = 97.0
episode 39 of 1000 complete,  explore val = 0.01, episode reward = 28.0, ave reward = 28.0
episode 40 of 1000 complete,  explore val = 0.01, episode reward = 11.0, ave reward = 11.0
episode 41 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 42 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 43 of 1000 complete,  explore val = 0.01, episode reward = 34.0, ave reward = 34.0
episode 44 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 45 of 1000 complete,  explore val = 0.01, episode reward = 11.0, ave reward = 11.0
episode 46 of 1000 complete,  explore val = 0.01, episode reward = 8.0, ave reward = 8.0
episode 47 of 1000 complete,  explore val = 0.01, episode reward = 25.0, ave reward = 25.0
episode 48 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 49 of 1000 complete,  explore val = 0.01, episode reward = 18.0, ave reward = 18.0
episode 50 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 51 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 16.0
episode 52 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 53 of 1000 complete,  explore val = 0.01, episode reward = 42.0, ave reward = 42.0
episode 54 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 55 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 39.0
episode 56 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 17.0
episode 57 of 1000 complete,  explore val = 0.01, episode reward = 16.0, ave reward = 16.0
episode 58 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 20.0
episode 59 of 1000 complete,  explore val = 0.01, episode reward = 18.0, ave reward = 18.0
episode 60 of 1000 complete,  explore val = 0.01, episode reward = 25.0, ave reward = 25.0
episode 61 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 62 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 20.0
episode 63 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 33.0
episode 64 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
