training episode 1 of 300 complete,  explore val = 0.01, episode reward = 9.0
training episode 2 of 300 complete,  explore val = 0.01, episode reward = 23.0
training episode 3 of 300 complete,  explore val = 0.01, episode reward = 77.0
training episode 4 of 300 complete,  explore val = 0.01, episode reward = 23.0
training episode 5 of 300 complete,  explore val = 0.01, episode reward = 15.0
training episode 6 of 300 complete,  explore val = 0.01, episode reward = 26.0
training episode 7 of 300 complete,  explore val = 0.01, episode reward = 10.0
training episode 8 of 300 complete,  explore val = 0.01, episode reward = 9.0
training episode 9 of 300 complete,  explore val = 0.01, episode reward = 9.0
training episode 10 of 300 complete,  explore val = 0.01, episode reward = 10.0
training episode 11 of 300 complete,  explore val = 0.01, episode reward = 10.0
training episode 12 of 300 complete,  explore val = 0.01, episode reward = 64.0
training episode 13 of 300 complete,  explore val = 0.01, episode reward = 28.0
training episode 14 of 300 complete,  explore val = 0.01, episode reward = 17.0
training episode 15 of 300 complete,  explore val = 0.01, episode reward = 8.0
training episode 16 of 300 complete,  explore val = 0.01, episode reward = 8.0
training episode 17 of 300 complete,  explore val = 0.01, episode reward = 16.0
training episode 18 of 300 complete,  explore val = 0.01, episode reward = 15.0
training episode 19 of 300 complete,  explore val = 0.01, episode reward = 21.0
training episode 20 of 300 complete,  explore val = 0.01, episode reward = 18.0
training episode 21 of 300 complete,  explore val = 0.01, episode reward = 22.0
training episode 22 of 300 complete,  explore val = 0.01, episode reward = 31.0
training episode 23 of 300 complete,  explore val = 0.01, episode reward = 57.0
training episode 24 of 300 complete,  explore val = 0.01, episode reward = 37.0
training episode 25 of 300 complete,  explore val = 0.01, episode reward = 12.0
training episode 26 of 300 complete,  explore val = 0.01, episode reward = 27.0
training episode 27 of 300 complete,  explore val = 0.01, episode reward = 23.0
training episode 28 of 300 complete,  explore val = 0.01, episode reward = 28.0
training episode 29 of 300 complete,  explore val = 0.01, episode reward = 89.0
training episode 30 of 300 complete,  explore val = 0.01, episode reward = 47.0
training episode 31 of 300 complete,  explore val = 0.01, episode reward = 65.0
training episode 32 of 300 complete,  explore val = 0.01, episode reward = 49.0
training episode 33 of 300 complete,  explore val = 0.01, episode reward = 56.0
training episode 34 of 300 complete,  explore val = 0.01, episode reward = 54.0
