episode 1 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 2 of 1000 complete,  explore val = 0.01, episode reward = 74.0, ave reward = 74.0
episode 3 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 4 of 1000 complete,  explore val = 0.01, episode reward = 13.0, ave reward = 13.0
episode 5 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 6 of 1000 complete,  explore val = 0.01, episode reward = 13.0, ave reward = 13.0
episode 7 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 8 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 9 of 1000 complete,  explore val = 0.01, episode reward = 10.0, ave reward = 10.0
episode 10 of 1000 complete,  explore val = 0.01, episode reward = 22.0, ave reward = 22.0
episode 11 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 12 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 13 of 1000 complete,  explore val = 0.01, episode reward = 9.0, ave reward = 9.0
episode 14 of 1000 complete,  explore val = 0.01, episode reward = 15.0, ave reward = 15.0
episode 15 of 1000 complete,  explore val = 0.01, episode reward = 11.0, ave reward = 11.0
episode 16 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 20.0
episode 17 of 1000 complete,  explore val = 0.01, episode reward = 47.0, ave reward = 47.0
episode 18 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 37.0
episode 19 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 61.0
episode 20 of 1000 complete,  explore val = 0.01, episode reward = 35.0, ave reward = 35.0
episode 21 of 1000 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 63.0
episode 22 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 27.0
episode 23 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 31.0
episode 24 of 1000 complete,  explore val = 0.01, episode reward = 67.0, ave reward = 67.0
episode 25 of 1000 complete,  explore val = 0.01, episode reward = 61.0, ave reward = 61.0
episode 26 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 51.0
episode 27 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 39.0
episode 28 of 1000 complete,  explore val = 0.01, episode reward = 40.0, ave reward = 40.0
episode 29 of 1000 complete,  explore val = 0.01, episode reward = 213.0, ave reward = 213.0
episode 30 of 1000 complete,  explore val = 0.01, episode reward = 161.0, ave reward = 161.0
episode 31 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 43.0
episode 32 of 1000 complete,  explore val = 0.01, episode reward = 192.0, ave reward = 192.0
episode 33 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 36.0
episode 34 of 1000 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 63.0
episode 35 of 1000 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 69.0
episode 36 of 1000 complete,  explore val = 0.01, episode reward = 199.0, ave reward = 199.0
episode 37 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 37.0
episode 38 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 51.0
episode 39 of 1000 complete,  explore val = 0.01, episode reward = 60.0, ave reward = 60.0
episode 40 of 1000 complete,  explore val = 0.01, episode reward = 335.0, ave reward = 335.0
episode 41 of 1000 complete,  explore val = 0.01, episode reward = 51.0, ave reward = 51.0
episode 42 of 1000 complete,  explore val = 0.01, episode reward = 97.0, ave reward = 97.0
episode 43 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 39.0
episode 44 of 1000 complete,  explore val = 0.01, episode reward = 162.0, ave reward = 162.0
